,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
687,박성준,15.0,181,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2013.0,중앙대학교
688,박성철,2.0,1413,8.0,4.0,1.0,2.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1999.0,건국대학교
689,박성철,3.0,2504,5.0,1.0,0.0,1.0,0.0,1.0,4.0,0.25,2.0,4.0,0.5,1.0,3.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2001.0,건국대학교
690,박세영,1.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2003.0,건국대학교
691,박세준,5.0,6051,18.0,3.0,7.0,12.0,0.583,0.0,0.0,0.0,4.0,14.0,0.286,11.0,13.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,8.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,2007.0,조선대학교
692,박수림,16.0,4583,17.0,1.0,3.0,6.0,0.5,2.0,11.0,0.182,5.0,7.0,0.714,2.0,7.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,0.0,2013.0,단국대학교
693,박수림,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014.0,단국대학교
694,박수림,3.0,746,6.0,2.0,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2013.0,단국대학교
695,박수림,13.0,1858,6.0,0.0,3.0,5.0,0.6,0.0,9.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2014.0,단국대학교
696,박승수,6.0,6479,52.0,8.0,15.0,23.0,0.652,7.0,19.0,0.368,1.0,4.0,0.25,5.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2005.0,경희대학교
697,박승수,4.0,5115,25.0,6.0,4.0,7.0,0.571,5.0,25.0,0.2,2.0,2.0,1.0,3.0,5.0,2.0,1.0,0.3,7.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2004.0,경희대학교
698,박승재,3.0,3762,14.0,4.0,1.0,6.0,0.167,4.0,8.0,0.5,0.0,0.0,0.0,2.0,5.0,2.0,12.0,4.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,0.0,2021.0,동국대학교
699,박승재,3.0,4914,36.0,12.0,12.0,22.0,0.545,3.0,16.0,0.188,3.0,5.0,0.6,3.0,12.0,5.0,6.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,4.0,6.0,3.0,0.0,2020.0,동국대학교
700,박승재,3.0,3372,22.0,7.0,7.0,16.0,0.438,2.0,7.0,0.286,2.0,2.0,1.0,1.0,6.0,2.0,8.0,2.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,2021.0,동국대학교
701,박승재,3.0,3642,33.0,11.0,12.0,18.0,0.667,2.0,7.0,0.286,3.0,6.0,0.5,3.0,6.0,3.0,5.0,1.7,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,6.0,0.0,2020.0,동국대학교
702,박여호수아,3.0,3108,18.0,6.0,6.0,11.0,0.545,1.0,4.0,0.25,3.0,3.0,1.0,6.0,9.0,5.0,2.0,0.7,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0,2012.0,조선대학교
703,박여호수아,19.0,570,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2011.0,조선대학교
704,박여호수아,3.0,5407,29.0,9.0,8.0,15.0,0.533,2.0,9.0,0.222,7.0,10.0,0.7,1.0,7.0,2.0,5.0,1.7,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,1.0,11.0,0.0,0.0,2013.0,조선대학교
705,박여호수아,22.0,7966,38.0,1.0,10.0,18.0,0.556,4.0,11.0,0.364,6.0,6.0,1.0,4.0,18.0,1.0,3.0,0.1,8.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,6.0,4.0,1.0,9.0,0.0,0.0,2012.0,조선대학교
706,박여호수아,16.0,32363,216.0,13.0,38.0,94.0,0.404,32.0,81.0,0.395,44.0,62.0,0.71,22.0,52.0,4.0,40.0,2.5,27.0,3.0,0.0,0.0,24.0,27.0,0.0,0.0,14.0,20.0,8.0,62.0,0.0,0.0,2013.0,조선대학교
