,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
505,김진영,2,0:03:10,2,1,0,0,0.00%,0,0,0.00%,2,2,100.00%,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017,고려대학교,MBC배 대학리그
506,김진영,15,7:09:41,201,13,71,114,62.30%,14,42,33.30%,17,27,63.00%,18,52,4,59,3.9,24,4,7,8,13,16,0,0,0,25,10,39,4,1,2018,고려대학교,대학농구리그
507,김진영,5,1:53:12,47,9,14,23,60.90%,4,13,30.80%,7,11,63.60%,7,11,3,11,2.2,5,3,1,1,1,7,0,0,0,3,1,8,2,0,2018,고려대학교,MBC배 대학리그
508,김진영,15,4:02:00,116,7,33,55,60.00%,11,37,29.70%,17,22,77.30%,7,32,2,23,1.5,17,5,7,7,5,5,0,0,1,20,2,22,6,0,2019,고려대학교,대학농구리그
509,김진영,5,1:47:40,55,11,15,25,60.00%,6,15,40.00%,7,13,53.80%,3,19,4,17,3.4,6,3,3,3,1,4,0,0,0,6,2,5,1,0,2019,고려대학교,MBC배 대학리그
510,김진용,6,0:32:44,23,3,9,12,75.00%,0,0,0.00%,5,6,83.30%,2,8,1,0,0,2,0,0,0,1,1,0,0,0,5,0,3,0,0,2014,연세대학교,대학농구리그
511,김진용,5,0:16:17,6,1,3,3,100.00%,0,0,0.00%,0,0,0.00%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,연세대학교,MBC배 대학리그
512,김진용,16,3:44:40,83,5,34,67,50.70%,0,1,0.00%,15,20,75.00%,19,33,3,3,0.2,2,7,0,0,8,18,0,0,4,2,2,26,0,0,2015,연세대학교,대학농구리그
513,김진용,5,1:48:12,37,7,16,22,72.70%,0,0,0.00%,5,7,71.40%,9,18,5,4,0.8,0,4,0,0,3,4,0,0,4,1,1,12,0,0,2015,연세대학교,MBC배 대학리그
514,김진용,16,5:03:31,120,7,55,92,59.80%,0,0,0.00%,10,19,52.60%,30,51,5,6,0.4,9,6,0,0,7,17,0,0,4,1,0,15,1,1,2016,연세대학교,대학농구리그
515,김진용,6,0:58:02,32,5,14,24,58.30%,0,0,0.00%,4,5,80.00%,15,13,4,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,2016,연세대학교,MBC배 대학리그
516,김진용,16,5:56:41,175,10,74,140,52.90%,1,6,16.70%,24,31,77.40%,34,55,5,21,1.3,12,18,2,2,16,11,0,0,0,10,1,27,9,0,2017,연세대학교,대학농구리그
517,김진용,5,1:45:46,70,14,28,49,57.10%,0,0,0.00%,14,20,70.00%,17,17,6,6,1.2,0,0,0,0,5,4,0,0,0,1,0,6,1,0,2017,연세대학교,MBC배 대학리그
518,김진유,16,3:05:59,59,3,16,48,33.30%,5,14,35.70%,12,21,57.10%,9,25,2,13,0.8,8,2,0,0,11,25,0,0,9,6,4,11,0,0,2013,건국대학교,대학농구리그
519,김진유,3,0:51:19,13,4,5,11,45.50%,0,5,0.00%,3,4,75.00%,5,4,3,1,0.3,3,0,0,0,3,5,0,0,1,3,1,4,0,0,2013,건국대학교,MBC배 대학리그
520,김진유,16,9:56:14,282,17,83,176,47.20%,25,90,27.80%,41,63,65.10%,37,56,5,19,1.2,32,4,0,0,10,35,0,0,18,17,10,30,2,0,2014,건국대학교,대학농구리그
521,김진유,5,2:23:58,73,14,18,45,40.00%,9,20,45.00%,10,12,83.30%,5,14,3,7,1.4,7,0,0,0,7,8,0,0,4,6,3,9,0,0,2014,건국대학교,MBC배 대학리그
522,김진유,15,9:48:21,285,19,78,177,44.10%,27,96,28.10%,48,69,69.60%,36,87,8,44,2.9,21,7,0,0,17,31,0,0,15,23,15,48,0,0,2015,건국대학교,대학농구리그
523,김진유,4,2:25:11,64,16,19,46,41.30%,4,27,14.80%,14,21,66.70%,11,13,6,3,0.8,7,3,0,0,3,7,0,0,2,1,1,18,0,0,2015,건국대학교,MBC배 대학리그
524,김진유,12,6:10:16,196,16,65,133,48.90%,13,55,23.60%,27,44,61.40%,29,54,6,22,1.8,25,2,0,0,9,23,0,0,10,10,3,35,8,1,2016,건국대학교,대학농구리그
525,김진유,1,0:34:25,13,13,5,8,62.50%,1,1,100.00%,0,0,0.00%,0,4,4,4,4,1,0,0,0,1,3,0,0,1,1,0,7,0,0,2016,건국대학교,MBC배 대학리그
526,김진호,3,1:42:16,32,10,6,17,35.30%,4,13,30.80%,8,8,100.00%,2,4,2,3,1,3,0,0,0,1,3,0,0,2,1,0,8,0,0,1999,경희대학교,MBC배 대학리그
