,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
141,김국찬,16.0,07:53:02,255.0,15.0,75.0,133.0,56.4%,28.0,90.0,31.1%,21.0,29.0,72.4%,49.0,88.0,8.0,12.0,0.8,24.0,17.0,6.0,6.0,25.0,21.0,0.0,0.0,13.0,17.0,2.0,34.0,1.0,0.0,2016.0,중앙대학교
142,김국찬,16.0,06:24:39,173.0,10.0,41.0,91.0,45.1%,22.0,78.0,28.2%,25.0,29.0,86.2%,29.0,59.0,5.0,14.0,0.9,22.0,9.0,2.0,2.0,28.0,10.0,0.0,0.0,6.0,5.0,1.0,27.0,2.0,0.0,2015.0,중앙대학교
143,김국찬,4.0,01:47:00,34.0,8.0,7.0,13.0,53.8%,5.0,12.0,41.7%,5.0,6.0,83.3%,3.0,11.0,3.0,5.0,1.3,3.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,0.0,2014.0,중앙대학교
144,김국찬,3.0,01:13:20,32.0,10.0,12.0,20.0,60.0%,2.0,15.0,13.3%,2.0,2.0,100.0%,9.0,7.0,5.0,2.0,0.7,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,2015.0,중앙대학교
145,김국찬,4.0,01:58:02,38.0,9.0,13.0,23.0,56.5%,3.0,23.0,13.0%,3.0,7.0,42.9%,8.0,23.0,7.0,3.0,0.8,4.0,4.0,0.0,0.0,6.0,5.0,0.0,0.0,3.0,1.0,2.0,12.0,0.0,0.0,2016.0,중앙대학교
146,김국찬,13.0,05:21:50,84.0,6.0,18.0,39.0,46.2%,14.0,59.0,23.7%,6.0,9.0,66.7%,15.0,38.0,4.0,6.0,0.5,15.0,2.0,0.0,0.0,10.0,16.0,0.0,0.0,6.0,6.0,0.0,25.0,0.0,0.0,2014.0,중앙대학교
147,김국찬,14.0,06:21:51,208.0,14.0,42.0,82.0,51.2%,33.0,87.0,37.9%,25.0,34.0,73.5%,34.0,62.0,6.0,53.0,3.8,22.0,10.0,3.0,3.0,11.0,14.0,0.0,0.0,1.0,11.0,6.0,26.0,1.0,1.0,2017.0,중앙대학교
148,김기만,7.0,02:27:49,67.0,9.0,14.0,28.0,50.0%,11.0,22.0,50.0%,6.0,12.0,50.0%,7.0,7.0,2.0,3.0,0.4,9.0,1.0,0.0,0.0,7.0,12.0,0.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,1999.0,고려대학교
149,김기성,3.0,02:00:00,37.0,12.0,8.0,32.0,25.0%,6.0,15.0,40.0%,3.0,6.0,50.0%,9.0,11.0,6.0,15.0,5.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,4.0,2.0,1.0,13.0,9.0,2.0,2012.0,명지대학교
150,김기성,4.0,00:12:15,0.0,0.0,0.0,1.0,0.0%,0.0,1.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2009.0,명지대학교
