,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
1124,변현수,-0.23700595,-0.08772387,0.0043154224,0.43143997,0.18991184,0.15881571,0.26997232,-0.51054573,-0.44015437,-0.27530318,0.33249488,0.31802112,0.42125985,-0.5856506,-0.23314643,-0.50893193,-0.008680547,0.33365864,-0.19108619,-0.49301296,-0.14352098,-0.15011856,-0.25047818,-0.21439788,-0.1270635,-0.18772297,-0.5202168,-0.488042,-0.01392331,-0.35471886,-0.3217548,2005.0,명지대학교
1125,변현수,-0.23700595,0.38828647,0.49924737,1.3973168,0.38486743,0.39214298,0.1855159,-0.176535,-0.105863206,0.21005933,1.859263,1.6087687,0.6532444,0.13915871,0.43152443,1.183139,0.22912571,0.75655305,0.29038197,-0.49301296,-0.14352098,-0.15011856,0.01748728,-0.09011065,-0.1270635,0.0013916092,-0.5202168,-0.488042,-0.0910693,-0.35471886,-0.3217548,2007.0,명지대학교
1126,서동용,-0.57500607,-0.23700695,-0.17335245,0.7533989,-0.35596383,-0.41389668,0.44882122,0.26881263,0.33985835,0.35081446,-0.201874,-0.11222807,0.04944901,-0.71743417,-0.69010764,-1.1857603,-0.2464868,0.19269377,0.04964789,0.44339982,-0.14352098,-0.15011856,-0.25047818,-0.58725953,-0.1270635,0.19050618,-0.5202168,-0.488042,0.29466066,-0.35471886,-0.3217548,2001.0,한양대학교
1127,서동용,-0.406006,0.02180236,0.5880813,2.2022142,0.11192961,0.11639257,0.17061181,1.4935187,0.89701027,1.10798,0.027141234,-0.05844692,0.6405329,-0.38797536,-0.482398,-0.50893193,-0.30593836,-0.15971832,0.04964789,-0.118447855,-0.14352098,-0.15011856,0.28545275,-0.58725953,-0.1270635,0.37962076,-0.5202168,-0.488042,-0.3996533,-0.35471886,-0.3217548,2002.0,한양대학교
1128,서동용,-0.23700595,-0.0048970953,0.33427006,1.0753579,-0.04403487,-0.13814628,0.5233416,1.048171,0.8598668,0.6905682,0.027141234,0.049115375,0.31639013,-0.38797536,-0.39931414,-0.50893193,-0.2464868,-0.15971832,-0.19108619,-0.3057304,-0.14352098,-0.15011856,0.28545275,0.40703824,-0.1270635,0.37962076,-0.5202168,-0.488042,0.21751468,-0.35471886,-0.3217548,2003.0,한양대학교
1129,서민수,2.1289952,1.8017985,1.0957038,-0.21247798,1.554601,1.6436256,0.14080366,0.046138823,-0.068719745,0.73425084,0.4088333,0.15667768,0.99963224,2.6430457,2.0101178,0.50631064,0.7641898,-0.08923589,0.17001493,1.567095,0.84335303,0.80223066,2.9651074,2.519921,-0.1270635,2.6489956,0.4626808,-0.488042,0.44895265,-0.35471886,-0.3217548,2012.0,동국대학교
1130,서민수,1.4529948,2.6081414,2.2378545,1.0753579,2.802317,2.0042224,1.010208,0.82549715,1.0827276,0.2585956,0.7905253,0.8558326,0.31639013,3.3019633,2.965582,1.8599674,0.82364136,0.19269377,0.65148306,1.567095,0.349916,0.32605606,0.95536643,1.2770488,-0.1270635,0.94696444,0.60309476,-0.488042,1.2204126,-0.35471886,-0.3217548,2015.0,동국대학교
1131,서민수,-0.74400616,-0.5191052,-0.71904665,-0.8563959,-0.66789275,-0.58358926,-1.0713944,-0.6218826,-0.6630151,-1.0858586,-0.43088922,-0.43491495,0.31639013,-0.12440832,-0.44085607,0.84472483,-0.4248415,-0.15971832,-0.43182024,0.0688347,-0.14352098,-0.15011856,-0.51844364,-0.21439788,-0.1270635,-0.37683752,-0.5202168,-0.488042,-0.6310913,-0.35471886,-0.3217548,2012.0,동국대학교
1132,서민수,-0.74400616,-0.6780352,-0.6936655,-0.69541645,-0.62890166,-0.6684355,0.40907702,-0.51054573,-0.44015437,-0.27530318,-0.6599045,-0.65003955,-0.21431422,-0.5856506,-0.69010764,-0.84734607,-0.5437446,-0.65309525,-0.6725543,-0.118447855,-0.14352098,-0.15011856,-0.25047818,-0.4629723,-0.1270635,-0.37683752,-0.23938891,-0.488042,-0.6310913,-0.35471886,-0.3217548,2014.0,동국대학교
1133,서민수,-0.74400616,-0.33815306,-0.26218638,1.0753579,-0.16100822,-0.28662726,0.75187075,-0.176535,-0.18015014,0.40905797,-0.58356607,-0.54247725,-0.21431422,-0.3220836,-0.06697872,1.5215532,-0.30593836,0.33365864,-0.43182024,0.0688347,-0.14352098,-0.15011856,-0.92039186,-0.21439788,-0.1270635,-0.18772297,-0.37980285,-0.488042,-0.7853833,-0.35471886,-0.3217548,2015.0,동국대학교
1134,서민수,1.4529948,1.6181179,0.626153,-0.21247798,0.7357875,0.71031654,0.26500428,0.38014954,1.3427318,-0.27530318,0.103479646,0.10289653,0.3831254,0.99575156,1.4285307,0.50631064,0.050771017,-0.37116557,0.89221716,2.1289427,-0.14352098,-0.15011856,0.95536643,0.90418714,-0.1270635,0.94696444,0.1818529,0.24098574,0.14036869,-0.35471886,-0.3217548,2014.0,동국대학교
1135,서민수,0.60799444,0.09127941,-0.3256392,-0.8563959,-0.12201711,0.18002728,-0.6292402,-0.51054573,-0.44015437,-0.27530318,-0.43088922,-0.4886961,0.7390469,0.40272576,-0.15006258,-0.17051773,-0.30593836,-0.5121304,0.29038197,0.0688347,-0.14352098,-0.15011856,-0.38446093,0.28275102,-0.1270635,0.19050618,-0.5202168,0.24098574,-0.3996533,-0.35471886,-0.3217548,2013.0,동국대학교
1136,서병원,-0.74400616,-0.856941,-0.75711834,-1.0173753,-0.7068839,-0.68964714,-0.7733129,-0.51054573,-0.4030109,-0.39179018,-0.7362429,-0.65003955,-1.8032494,-0.65154237,-0.81473345,-1.1857603,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.83583397,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.8625293,-0.35471886,-0.3217548,1999.0,명지대학교
1137,서병원,-1.0820063,-0.78502786,-0.59214103,1.8802553,-0.7068839,-0.7108587,-0.44045526,-0.065198086,-0.32872397,1.6127571,-0.6599045,-0.65003955,-0.21431422,-0.71743417,-0.7316496,-0.50893193,-0.5437446,-0.15971832,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.78640914,-0.83583397,-0.1270635,-0.5659521,-0.5202168,-0.488042,-0.8625293,-0.35471886,-0.3217548,2001.0,명지대학교
1138,서병원,-0.74400616,-0.737573,-0.68097496,-0.69541645,-0.5899105,-0.6684355,1.1195046,-0.6218826,-0.44015437,-1.0858586,-0.50722766,-0.54247725,0.58015335,-0.5197589,-0.6485657,-0.50893193,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.65242636,-0.83583397,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.6310913,-0.35471886,-0.3217548,2000.0,명지대학교
1139,서병원,-0.57500607,-0.19218305,0.017005986,1.3973168,-0.66789275,-0.58358926,-1.0713944,1.4935187,0.8598668,1.1613698,-0.3545508,-0.38113382,0.46575004,-0.5197589,-0.3577722,-0.17051773,-0.5437446,-0.65309525,-0.19108619,-0.49301296,-0.14352098,-0.15011856,-0.25047818,-0.21439788,-0.1270635,-0.5659521,-0.5202168,-0.488042,-0.01392331,-0.35471886,-0.3217548,2002.0,명지대학교
1140,서영권,-0.74400616,-0.5947212,-0.51599765,-0.051498495,-0.5119283,-0.49874297,-0.10759758,-0.51054573,-0.58872825,1.3409541,-0.049197175,-0.05844692,0.3958369,-0.4538671,-0.39931414,0.16789645,-0.30593836,0.33365864,-0.43182024,-0.118447855,-0.14352098,-0.15011856,0.5534182,-0.58725953,-0.1270635,-0.18772297,-0.5202168,-0.488042,-0.6310913,-0.35471886,-0.3217548,2000.0,동국대학교
1141,서영권,-0.74400616,-0.42097983,-0.5286882,-0.051498495,-0.3169727,-0.43510827,0.8860074,-0.6218826,-0.58872825,-1.0858586,-0.6599045,-0.7038207,1.3746209,-0.058516562,-0.10852065,1.8599674,-0.18703523,0.75655305,-0.43182024,-0.3057304,-0.14352098,-0.15011856,-0.25047818,-0.09011065,-0.1270635,0.0013916092,-0.5202168,-0.12352814,-0.01392331,-0.35471886,-0.3217548,2001.0,동국대학교
1142,서영권,-0.74400616,-0.39437783,-0.45254484,0.2704605,-0.23899047,-0.2654157,0.2451322,-0.6218826,-0.62587166,-1.0858586,-0.50722766,-0.4886961,0.10347281,-0.4538671,-0.15006258,0.84472483,-0.48429304,-0.37116557,-0.5521873,-0.3057304,-0.14352098,-0.15011856,0.15147002,-0.21439788,-0.1270635,0.5687353,-0.5202168,-0.488042,0.21751468,-0.35471886,-0.3217548,1999.0,동국대학교
1143,서현석,-0.74400616,-0.31924906,-0.24949583,1.0753579,-0.08302599,0.243662,-0.63917625,-0.51054573,-0.47729784,-0.11513355,-0.12553559,-0.004665773,0.011314568,0.33683398,-0.23314643,2.1983814,-0.4248415,-0.15971832,-0.31145322,-0.49301296,0.349916,1.2784053,-0.51844364,-0.83583397,-0.1270635,-0.7550667,-0.23938891,-0.488042,-0.5539453,-0.35471886,-0.3217548,2018.0,건국대학교
1144,서현석,-0.74400616,-0.33113715,-0.47792596,0.10948099,-0.3169727,-0.22299255,-0.29638255,-0.6218826,-0.6630151,-1.0858586,-0.3545508,-0.16600922,-0.3573184,-0.12440832,0.057647064,2.1983814,-0.48429304,-0.37116557,-0.6725543,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.3386851,-0.1270635,-0.7550667,-0.09897498,-0.488042,-0.3225073,-0.35471886,-0.3217548,2017.0,건국대학교
1145,서현석,1.4529948,2.278491,1.5652546,0.43143997,1.9445122,2.8738966,-0.43051922,-0.6218826,-0.25443706,-1.0858586,3.0806775,3.2759843,0.31639013,2.5112622,3.3810012,1.8599674,0.46693197,-0.08923589,0.29038197,0.8179649,4.297412,5.087802,2.0272284,1.0284743,-0.1270635,-0.5659521,0.88392264,0.24098574,2.7633324,1.7287301,-0.3217548,2018.0,건국대학교
1146,서현석,1.4529948,0.3522325,-0.00837514,-0.69541645,0.2678941,0.64668185,-0.48516747,-0.6218826,-0.6630151,-1.0858586,0.17981805,0.31802112,0.10347281,0.2709422,0.63923407,-0.17051773,-0.6031962,-0.8645425,-0.79292136,0.0688347,2.3236642,2.706929,0.01748728,-0.3386851,-0.1270635,0.0013916092,-0.5202168,-0.12352814,0.063222684,0.06197091,-0.3217548,2016.0,건국대학교
1147,서현석,0.1009942,-0.9433732,-0.8459523,-1.3393344,-0.78486615,-0.8169165,-2.4276652,-0.6218826,-0.6630151,-1.0858586,-0.7362429,-0.75760186,-1.8032494,-0.71743417,-0.81473345,-1.1857603,-0.6031962,-0.8645425,-0.6725543,-0.3057304,-0.14352098,-0.15011856,-0.78640914,-0.7115468,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.8625293,-0.35471886,-0.3217548,2015.0,건국대학교
1148,서현석,-0.74400616,-0.71399176,-0.70635605,-0.8563959,-0.5899105,-0.51995456,-0.65408033,-0.6218826,-0.6630151,-1.0858586,-0.6599045,-0.5962584,-0.7450186,-0.5197589,-0.6070238,-0.50893193,-0.6031962,-0.8645425,-0.79292136,-0.49301296,-0.14352098,-0.15011856,-0.78640914,-0.7115468,-0.1270635,-0.37683752,-0.37980285,-0.488042,-0.5539453,-0.35471886,-0.3217548,2016.0,건국대학교
1149,서현석,1.2839947,2.1912792,1.5779451,0.59241945,2.2174501,2.7890503,-0.17714994,-0.51054573,-0.58872825,1.3409541,1.859263,2.6843917,-0.11580025,3.367855,2.757872,1.8599674,0.22912571,-0.23020075,0.410749,1.567095,4.790849,6.040151,1.0893492,1.4013361,-0.1270635,0.0013916092,0.88392264,0.6054996,1.2204126,1.5898335,1.1395837,2017.0,건국대학교
