,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
168,김낙현,16.0,28991,183.0,11.0,55.0,99.0,556,17.0,58.0,293,22.0,30.0,733,23.0,44.0,4.0,31.0,1.9,22.0,2.0,0.0,0.0,10.0,21.0,0.0,0.0,8.0,7.0,2.0,12.0,17.0,2.0,2016.0,고려대학교
169,김낙현,16.0,31427,223.0,13.0,55.0,110.0,500,28.0,87.0,322,29.0,34.0,853,14.0,70.0,5.0,60.0,3.8,32.0,3.0,0.0,0.0,12.0,17.0,0.0,0.0,3.0,10.0,4.0,29.0,22.0,5.0,2017.0,고려대학교
170,김낙현,4.0,6784,67.0,16.0,19.0,25.0,760,6.0,14.0,429,11.0,11.0,1000,0.0,9.0,2.0,5.0,1.3,9.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,6.0,0.0,5.0,4.0,0.0,2016.0,고려대학교
171,김대환,2.0,955,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1999.0,고려대학교
172,김대환,4.0,3143,11.0,2.0,4.0,6.0,667,1.0,5.0,200,0.0,0.0,0,0.0,6.0,1.0,1.0,0.3,0.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2000.0,고려대학교
173,김도수,4.0,8016,75.0,18.0,22.0,33.0,667,8.0,25.0,320,7.0,10.0,700,9.0,8.0,4.0,5.0,1.3,6.0,1.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2003.0,경희대학교
174,김도수,3.0,3334,18.0,6.0,5.0,7.0,714,2.0,7.0,286,2.0,3.0,667,2.0,5.0,2.0,3.0,1.0,4.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2001.0,경희대학교
175,김도수,4.0,3871,16.0,4.0,3.0,6.0,500,2.0,7.0,286,4.0,4.0,1000,2.0,3.0,1.0,5.0,1.3,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,2000.0,경희대학교
176,김도수,5.0,5831,42.0,8.0,7.0,12.0,583,8.0,24.0,333,4.0,4.0,1000,4.0,10.0,2.0,11.0,2.2,4.0,3.0,0.0,0.0,6.0,3.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,2002.0,경희대학교
177,김동량,6.0,10134,44.0,7.0,19.0,33.0,576,0.0,0.0,0,6.0,8.0,750,18.0,28.0,7.0,2.0,0.3,5.0,8.0,0.0,0.0,8.0,9.0,0.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,2009.0,동국대학교
178,김동량,3.0,6206,43.0,14.0,19.0,35.0,543,0.0,0.0,0,5.0,8.0,625,24.0,13.0,12.0,2.0,0.7,1.0,1.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2010.0,동국대학교
179,김동량,4.0,8016,52.0,13.0,23.0,38.0,605,0.0,1.0,0,6.0,16.0,375,27.0,27.0,13.0,3.0,0.8,2.0,2.0,0.0,0.0,7.0,7.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,2008.0,동국대학교
180,김동량,3.0,3004,8.0,2.0,3.0,6.0,500,0.0,0.0,0,2.0,8.0,250,5.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2007.0,동국대학교
181,김동민,7.0,10327,40.0,5.0,17.0,37.0,459,0.0,0.0,0,6.0,14.0,429,18.0,18.0,5.0,8.0,1.1,2.0,4.0,0.0,0.0,15.0,14.0,0.0,0.0,6.0,0.0,0.0,10.0,0.0,0.0,2007.0,고려대학교
182,김동민,5.0,1342,11.0,2.0,5.0,6.0,833,0.0,0.0,0,1.0,2.0,500,3.0,5.0,1.0,1.0,0.2,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2005.0,고려대학교
183,김동민,5.0,6243,24.0,4.0,10.0,20.0,500,0.0,0.0,0,4.0,5.0,800,10.0,16.0,5.0,1.0,0.2,2.0,5.0,0.0,0.0,12.0,6.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2006.0,고려대학교
184,김동우,5.0,7251,48.0,9.0,13.0,31.0,419,3.0,11.0,273,13.0,20.0,650,6.0,12.0,3.0,2.0,0.4,4.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,2006.0,한양대학교
