,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
1104,안웅현,-0.92057335,-0.633827,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2008.0,동국대학교
1105,안정욱,0.8386355,-0.59254956,-0.53159595,-0.7536515,-0.4656624,-0.49665266,0.47276422,-0.43505692,-0.41610515,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.43120223,-0.72335607,-0.46950248,-0.56068945,-0.3503292,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.13414168,-0.39023393,-0.4950073,-0.053517554,-0.2684201,2019.0,성균관대학교
1106,안정욱,-0.56873155,-0.18636245,-0.30767068,-0.11994307,-0.21948259,-0.16334628,0.1320774,-0.24365525,-0.35945,1.5253513,-0.50976527,-0.32321662,-0.95482904,0.5586318,0.13821177,1.610149,-0.22978544,0.042704865,-0.55843925,0.12758447,-0.07178532,-0.09591649,-0.11789962,-0.28251243,7.60247,-0.14439434,0.16770999,0.17970644,-0.3599464,1.7644933,-0.2684201,2020.0,성균관대학교
1107,안정욱,-0.21688978,-0.6278257,-0.5813571,-0.7536515,-0.54772234,-0.5799793,-1.23067,-0.43505692,-0.41610515,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.64114577,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2019.0,성균관대학교
1108,안정욱,-0.56873155,-0.34415334,-0.30767068,-0.11994307,-0.21948259,-0.038356382,-0.18135451,-0.43505692,-0.35945,-0.69230264,-0.031495303,0.005252462,0.67871726,0.28119132,0.056866914,1.143448,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,0.23093113,-0.44293863,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,0.8554879,0.99541414,2021.0,성균관대학교
1109,안정욱,-0.56873155,-0.51745987,-0.48183477,-0.5424153,-0.38360244,-0.2883362,-0.2563056,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.32321662,-0.95482904,-0.27368966,-0.51254714,-0.25665504,-0.34964395,-0.3020919,-0.55843925,0.12758447,-0.07178532,-0.09591649,-0.292315,-0.44293863,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.4950073,0.24948426,-0.2684201,2021.0,성균관대학교
1110,안정욱,-0.56873155,-0.09692808,-0.10862604,0.51376534,0.10875714,0.1282968,0.37396505,-0.24365525,-0.1328295,0.04839376,-0.50976527,-0.542196,-0.95482904,0.41991156,0.13821177,1.610149,-0.22978544,0.042704865,0.06589094,1.6151329,-0.07178532,-0.09591649,0.05651576,-0.44293863,-0.124685906,-0.47883502,-0.13414168,-0.39023393,-0.22488552,0.8554879,-0.2684201,2020.0,성균관대학교
1111,안준혁,-0.040968895,-0.56869066,-0.48183477,-0.7536515,-0.38360244,-0.45498937,1.0417112,-0.43505692,-0.4727603,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.18716767,-0.72335607,-0.46950248,-0.56068945,-0.55843925,0.12758447,-0.07178532,-0.09591649,-0.64114577,-0.44293863,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2011.0,동국대학교
1112,안희성,-0.92057335,-0.6250446,-0.5813571,-0.7536515,-0.54772234,-0.41332608,-1.23067,-0.43505692,-0.41610515,-0.69230264,-0.50976527,-0.542196,-0.95482904,-0.4124099,-0.51254714,0.21004596,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.6033648,-0.124685906,-0.14439434,-0.43599334,-0.39023393,-0.4950073,-0.35651937,-0.2684201,2005.0,중앙대학교
1113,안희성,-0.74465245,-0.556688,-0.4320736,-0.11994307,-0.54772234,-0.53831595,-1.23067,-0.05225357,-0.18948463,1.0818205,-0.50976527,-0.542196,-0.95482904,-0.5511302,-0.593892,-0.72335607,-0.46950248,-0.56068945,-0.55843925,-0.368265,-0.07178532,-0.09591649,-0.46673036,-0.6033648,-0.124685906,-0.47883502,-0.43599334,-0.39023393,-0.6300682,-0.35651937,-0.2684201,2006.0,중앙대학교
