,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
1163,5958,플레이오프,2000-2001,5,로데릭 하니발,청주SK,25.7,9.3,10.7,64.1,4.5,6.0,75.0,0.0,0.0,0.0,2.7,3.3,6.0,4.8,4.7,1.3,0.3,2.8
1164,3448,정규경기,2001-2002,17,로데릭 하니발,서울SK,17.8,6.8,9.6,57.3,2.9,4.0,72.5,0.0,0.0,0.0,2.1,4.8,6.8,4.8,3.5,1.4,0.5,2.8
1165,1995,정규경기,2010-2011,6,로드 벤슨,원주동부,17.4,7.0,11.8,59.2,3.4,5.6,60.9,6.1,9.4,64.6,3.1,6.7,9.7,0.7,2.3,1.1,1.3,2.4
1166,5162,플레이오프,2010-2011,9,로드 벤슨,원주동부,15.1,6.3,10.9,57.9,2.6,5.0,51.4,5.7,9.0,63.5,2.7,6.0,8.7,1.0,2.0,0.6,0.7,3.3
1167,1841,정규경기,2011-2012,12,로드 벤슨,원주동부,19.6,8.1,13.8,58.5,3.5,5.7,61.1,7.3,11.8,62.0,4.5,8.4,12.9,1.3,2.6,1.7,1.2,2.7
1168,5085,플레이오프,2011-2012,6,로드 벤슨,원주동부,18.5,8.8,14.8,59.3,1.0,4.0,25.0,7.8,13.0,59.6,4.5,10.0,14.5,1.5,2.0,0.8,1.3,2.3
1169,1670,정규경기,2012-2013,20,로드 벤슨,울산모비스,13.0,5.1,9.2,55.6,2.8,5.0,55.6,4.6,7.8,58.6,3.3,6.0,9.3,2.0,2.6,1.3,1.1,1.7
1170,5014,플레이오프,2012-2013,13,로드 벤슨,울산모비스,12.3,3.7,6.0,61.1,5.0,8.7,57.7,3.3,4.7,71.4,2.0,2.7,4.7,1.3,0.3,0.3,2.3,3.0
1171,1490,정규경기,2013-2014,11,로드 벤슨,울산모비스,13.8,5.2,9.3,56.1,3.4,5.6,60.1,4.6,8.0,57.8,3.4,5.6,9.0,1.5,1.9,0.9,1.1,2.4
1172,4964,플레이오프,2013-2014,40,로드 벤슨,울산모비스,4.0,1.5,5.0,30.0,1.0,3.0,33.3,1.3,4.8,26.3,2.0,2.0,4.0,0.5,1.0,0.5,0.0,2.5
1173,1842,정규경기,2011-2012,13,로드니 화이트,안양 KGC,19.5,8.2,12.5,57.3,2.1,3.2,66.7,6.1,9.3,65.3,2.4,5.3,7.7,2.7,2.7,1.6,1.2,3.0
1174,2008,정규경기,2010-2011,19,로렌스 엑페리건,울산모비스,14.3,5.8,9.8,59.3,2.7,4.8,56.3,5.7,9.6,59.6,2.7,5.2,7.9,1.4,1.8,0.9,1.3,2.8
1175,2045,정규경기,2010-2011,56,로렌스 힐,대구오리온스,6.9,2.9,4.3,48.4,0.4,0.9,46.2,1.6,2.9,54.5,0.3,2.4,2.7,1.0,1.3,0.7,0.9,1.4
1176,3757,정규경기,1999-2000,25,로렌조 홀,대전현대,17.0,7.2,10.6,67.6,2.7,5.9,45.1,0.0,0.0,0.0,3.2,6.9,10.1,1.4,3.6,1.1,2.2,3.5
1177,6040,플레이오프,1999-2000,7,로렌조 홀,대전현대,19.0,8.3,10.3,80.6,2.3,7.0,33.3,0.0,0.0,0.0,4.7,10.0,14.7,1.7,3.3,0.7,2.0,3.7
1178,4037,정규경기,1997-1998,11,로버트 보이킨스,경남LG,22.3,9.8,15.7,62.4,2.6,3.6,73.9,0.0,0.0,0.0,3.6,6.3,9.9,1.0,1.8,1.7,1.2,2.6
1179,6189,플레이오프,1997-1998,4,로버트 보이킨스,경남LG,24.8,11.8,17.3,68.1,1.3,3.0,41.7,0.0,0.0,0.0,4.0,4.8,8.8,1.0,1.3,1.8,1.0,3.5
1180,2516,정규경기,2007-2008,27,로버트 브래넌,대구오리온스,13.4,5.5,9.8,56.4,2.4,4.3,55.9,5.1,9.3,55.4,3.5,5.6,9.1,0.8,2.5,1.3,0.3,3.1
1181,2426,정규경기,2008-2009,107,로버트 써머스,안양KT&G,3.0,1.5,3.5,42.9,0.0,0.0,0.0,1.0,2.0,50.0,1.5,2.0,3.5,0.0,2.0,0.0,0.0,4.5
