,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
4279,정규경기,1999-2000,13,토시로 저머니,부산기아,1.8869954,2.2701628,2.29038,0.8424223,0.9835997,1.5561428,0.04123034,-0.53075624,-0.5539209,-0.7869104,1.9950874,2.714129,2.616253,0.67039675,2.9558702,0.67157936,3.0108936,1.3363992
4280,플레이오프,1999-2000,19,토시로 저머니,부산기아,0.933231,0.9979562,0.8160235,1.015065,1.1247519,1.712476,0.032215945,-0.53075624,-0.5539209,-0.7869104,2.3355808,1.3858308,1.781974,-0.26523995,1.257968,0.5161003,1.0093768,1.060413
4281,정규경기,2000-2001,15,토시로 저머니,대구동양,1.9146409,2.1994846,2.3357446,0.74315256,1.4070563,2.2335868,-0.00083687156,-0.53075624,-0.5539209,-0.7869104,2.931444,3.0997639,3.1823707,0.4030719,2.106919,0.5161003,2.2102869,1.060413
4282,정규경기,2002-2003,34,토시로 저머니,대구동양,0.7397136,0.96261704,1.1562597,0.64388305,0.277839,0.6702547,0.03822558,-0.53075624,-0.5539209,-0.7869104,1.4843473,1.8143141,1.781974,-0.33207116,1.257968,0.67157936,1.2095282,0.8764221
4283,정규경기,2007-2008,28,트래비스 개리슨,서울SK,0.62913215,0.7152436,1.1108949,0.26838508,0.63071936,0.46181035,0.7443548,1.5200828,1.5093428,1.2268037,0.71823746,1.0858926,1.0072863,0.002084778,1.0693121,0.2051422,1.8099835,1.060413
4284,정규경기,2003-2004,34,트레버 게인스,서울SK,0.7673589,1.1039734,1.564543,0.34607428,-0.07504138,-0.0071892287,0.33269653,-0.53075624,-0.5539209,-0.7869104,2.3355808,2.6712806,2.6758442,-0.39890233,2.0125911,-0.572253,0.20876984,0.96841764
4285,정규경기,2013-2014,101,트레본 브라이언트,부산KT,-0.6287312,-0.556963,-0.22736712,-0.17616992,-0.569074,-0.16352248,-0.7610527,0.038921304,0.14549045,0.8555971,-0.5586125,-0.37095043,-0.45270184,-0.13157755,-0.34560648,0.2051422,1.40968,0.14045875
4286,정규경기,2014-2015,4,트로이 길렌워터,고양오리온스,1.6520101,1.5987204,1.4964957,0.5446135,1.7599367,1.6603651,0.6662299,2.4315667,2.3136656,1.2793641,0.4628675,0.871651,0.76892096,-0.13157755,0.5976725,0.2051422,0.008618152,0.32444963
4287,플레이오프,2014-2015,1,트로이 길렌워터,고양오리온스,1.997577,2.1994846,2.0408733,0.6223027,0.9835997,1.3998097,0.15541294,3.11518,2.943136,1.3154992,0.4628675,0.8288025,0.7391253,-0.39890233,0.9749842,0.2051422,1.0093768,1.7963763
4288,정규경기,2015-2016,1,트로이 길렌워터,창원LG,2.550484,2.2701628,1.9274614,0.7474686,3.5243385,3.067364,0.834499,3.4000187,2.9081652,1.4863199,1.4843473,1.685769,1.6925869,0.2025784,0.8806562,0.36062118,0.20876984,0.6924312
4289,정규경기,2001-2002,58,패트릭 은공바,원주삼보,-0.04817891,-0.026876897,0.226281,0.28564942,0.13668682,0.097032875,0.6001243,-0.53075624,-0.5539209,-0.7869104,2.0802107,0.8288025,1.305243,-0.8667206,0.03170517,0.5161003,0.008618152,1.1524082
4290,정규경기,2001-2002,8,퍼넬 페리,안양SBS,1.9146409,1.916772,2.403792,0.42807963,2.3951213,2.3378088,0.6001243,-0.53075624,-0.5539209,-0.7869104,1.7397172,2.1142523,2.0799308,0.67039675,1.5409516,0.67157936,3.2110453,-0.22752291
4291,플레이오프,2001-2002,2,퍼넬 페리,안양SBS,2.799292,2.6588926,3.4245002,0.36765462,4.0889473,3.2758083,1.0087779,-0.53075624,-0.5539209,-0.7869104,4.6339107,1.6000724,2.7354355,0.73722786,1.257968,2.848286,0.40892154,0.14045875
4292,정규경기,2002-2003,16,퍼넬 페리,안양SBS,1.2926205,1.386686,1.7686845,0.4108153,1.4070563,1.6082541,0.4108214,-0.53075624,-0.5539209,-0.7869104,1.1438541,2.0285556,1.8117695,0.53673434,1.0693121,0.9825373,3.2110453,-0.043532133
