,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교_건국대학교,대학교_경희대학교,대학교_고려대학교,대학교_단국대학교,대학교_동국대학교,대학교_명지대학교,대학교_상명대학교,대학교_성균관대학교,대학교_연세대학교,대학교_조선대학교,대학교_중앙대학교,대학교_한양대학교,EFF,키
301,천재민,16,13722,53,3.3125,6,21,0.285714286,12,39,0.307692308,5,7,0.714285714,8,16,1.5,7,0.4375,5,3,0,0,15,12,0,0,1,2,13,0,0,2018,0,0,0,0,0,0,0,0,1,0,0,0,52,189.8
302,최고봉,4,8716,116,29.0,38,57,0.666666667,5,16,0.3125,25,34,0.735294118,14,29,10.75,3,0.75,5,0,0,0,4,2,0,3,0,0,6,0,0,2006,0,0,0,0,0,0,0,0,0,1,0,0,97,186.0
303,최병훈,3,5966,32,10.66666667,7,18,0.388888889,5,13,0.384615385,3,4,0.75,5,6,3.666666667,0,0.0,5,0,0,0,3,4,0,2,0,0,3,0,0,1999,0,0,0,0,0,0,0,0,1,0,0,0,83,187.0
304,최성근,4,4768,21,5.25,10,26,0.384615385,0,2,0.0,1,2,0.5,8,7,3.75,2,0.5,0,0,0,0,5,6,0,3,0,0,11,0,0,2008,0,0,0,0,1,0,0,0,0,0,0,0,33,197.0
305,최성모,15,25976,211,14.06666667,71,122,0.581967213,9,27,0.333333333,42,55,0.763636364,18,57,5.0,32,2.133333333,17,5,0,1,8,34,0,8,12,4,19,3,0,2016,0,0,1,0,0,0,0,0,0,0,0,0,359,186.4
306,최성원,16,22812,106,6.625,32,72,0.444444444,8,36,0.222222222,18,30,0.6,13,24,2.3125,59,3.6875,14,1,0,0,6,19,0,4,9,7,30,3,1,2017,0,0,1,0,0,0,0,0,0,0,0,0,528,184.0
307,최수현,22,43045,131,5.954545455,45,96,0.46875,7,24,0.291666667,20,34,0.588235294,28,48,3.454545455,134,6.090909091,26,0,0,0,25,26,0,12,11,4,95,61,8,2012,0,0,0,0,0,0,0,0,0,1,0,0,191,180.0
308,최승태,4,5657,23,5.75,8,10,0.8,1,9,0.111111111,4,6,0.666666667,7,7,3.5,3,0.75,4,1,0,0,1,3,0,2,0,0,5,0,0,2003,0,0,0,0,0,0,0,0,1,0,0,0,66,188.0
309,최우연,16,7603,85,5.3125,35,54,0.648148148,4,9,0.444444444,3,6,0.5,18,22,2.5,4,0.25,2,1,0,0,13,9,0,3,4,2,15,12,0,2017,0,0,0,0,0,0,0,1,0,0,0,0,40,198.0
310,최원혁,4,8992,46,11.5,14,28,0.5,2,12,0.166666667,12,18,0.666666667,8,25,8.25,18,4.5,5,1,0,0,2,12,0,1,1,6,7,0,0,2014,0,0,0,0,0,0,0,0,0,0,0,1,238,183.0
311,최윤호,7,7593,49,7.0,12,25,0.48,7,18,0.388888889,4,7,0.571428571,5,18,3.285714286,6,0.857142857,3,0,0,0,3,8,0,4,1,0,6,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,355,186.0
312,최준용,6,9713,121,20.16666667,50,81,0.617283951,2,12,0.166666667,15,19,0.789473684,26,45,11.83333333,12,2.0,5,6,0,0,5,8,0,3,6,0,16,0,1,2016,0,0,0,0,0,0,0,0,1,0,0,0,748,200.0
313,최진광,3,6343,49,16.33333333,11,24,0.458333333,7,16,0.4375,6,6,1.0,1,10,3.666666667,21,7.0,1,0,0,0,3,3,0,1,4,5,9,5,0,2019,1,0,0,0,0,0,0,0,0,0,0,0,87,175.7
314,최창진,14,23174,114,8.142857143,43,69,0.623188406,0,4,0.0,28,39,0.717948718,37,45,5.857142857,57,4.071428571,33,0,0,0,17,23,0,18,6,0,33,29,3,2015,0,1,0,0,0,0,0,0,0,0,0,0,175,185.0
315,최현민,21,33228,285,13.57142857,105,190,0.552631579,6,32,0.1875,57,96,0.59375,62,96,7.523809524,34,1.619047619,19,9,0,0,27,29,0,19,31,6,48,2,0,2011,0,0,0,0,0,0,0,0,0,0,1,0,472,195.0
316,하도현,16,29266,286,17.875,97,162,0.598765432,8,29,0.275862069,68,90,0.755555556,82,98,11.25,51,3.1875,11,19,0,0,13,11,0,5,24,10,31,11,0,2017,0,0,0,1,0,0,0,0,0,0,0,0,137,197.1
317,하재필,7,13751,95,13.57142857,40,68,0.588235294,0,2,0.0,15,22,0.681818182,23,38,8.714285714,13,1.857142857,5,13,0,0,13,10,0,7,2,0,20,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,293,200.0
318,한상민,4,6047,32,8.0,8,14,0.571428571,3,10,0.3,7,9,0.777777778,4,5,2.25,4,1.0,2,0,0,0,4,9,0,7,0,0,10,0,0,2003,0,1,0,0,0,0,0,0,0,0,0,0,24,180.0
319,한상혁,3,5802,37,12.33333333,13,28,0.464285714,3,13,0.230769231,2,8,0.25,3,9,4.0,10,3.333333333,5,0,0,0,4,2,0,3,4,1,10,11,3,2015,0,0,0,0,0,0,0,0,0,0,0,1,130,183.0
320,한성원,5,8507,65,13.0,17,36,0.472222222,8,20,0.4,7,9,0.777777778,4,7,2.2,10,2.0,6,0,0,0,4,10,0,2,7,1,7,1,0,2014,0,1,0,0,0,0,0,0,0,0,0,0,127,180.0
321,한승희,3,4367,42,14.0,18,27,0.666666667,0,2,0.0,6,10,0.6,4,16,6.666666667,3,1.0,5,1,0,0,1,6,0,0,4,1,13,1,0,2020,0,0,0,0,0,0,0,0,1,0,0,0,64,196.0
322,한정훈,3,5549,46,15.33333333,6,10,0.6,11,21,0.523809524,1,1,1.0,1,7,2.666666667,2,0.666666667,4,0,0,0,2,4,0,5,0,0,6,0,0,2001,0,0,1,0,0,0,0,0,0,0,0,0,262,185.0
323,한호빈,16,37411,243,15.1875,81,153,0.529411765,13,50,0.26,42,59,0.711864407,26,38,4.0,91,5.6875,35,2,0,0,3,15,0,14,16,10,63,33,6,2013,1,0,0,0,0,0,0,0,0,0,0,0,241,180.0
324,한희원,5,9267,89,17.8,36,57,0.631578947,3,28,0.107142857,8,14,0.571428571,11,25,7.2,6,1.2,5,2,0,0,6,6,0,5,10,2,8,0,0,2015,0,1,0,0,0,0,0,0,0,0,0,0,266,195.0
325,함준후,5,8872,57,11.4,17,30,0.566666667,6,14,0.428571429,5,7,0.714285714,2,17,3.8,4,0.8,2,2,0,0,2,7,0,6,0,0,9,0,0,2010,0,0,0,0,0,0,0,0,0,0,1,0,164,195.0
326,함지훈,7,12680,87,12.42857143,34,58,0.586206897,0,1,0.0,19,25,0.76,16,29,6.428571429,12,1.714285714,13,6,0,0,2,13,0,15,0,0,15,0,0,2006,0,0,0,0,0,0,0,0,0,0,1,0,1097,198.0
327,허웅,16,28694,226,14.125,61,107,0.570093458,24,85,0.282352941,32,38,0.842105263,16,34,3.125,28,1.75,28,1,0,0,12,16,0,9,23,7,31,0,1,2014,0,0,0,0,0,0,0,0,1,0,0,0,843,185.0
328,허일영,6,13920,130,21.66666667,29,59,0.491525424,18,47,0.382978723,18,22,0.818181818,19,38,9.5,4,0.666666667,7,1,0,0,4,6,0,7,0,0,10,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,0,648,196.0
329,허중,3,3166,10,3.333333333,0,3,0.0,1,2,0.5,7,10,0.7,5,2,2.333333333,4,1.333333333,1,0,0,0,4,5,0,3,0,0,6,0,0,1999,0,0,0,0,0,0,0,0,1,0,0,0,18,180.0
330,허진성,6,14090,62,10.33333333,18,40,0.45,6,25,0.24,8,11,0.727272727,7,27,5.666666667,14,2.333333333,7,1,0,0,4,14,0,6,0,0,10,0,0,2008,1,0,0,0,0,0,0,0,0,0,0,0,149,182.0
331,허효진,6,6475,38,6.333333333,11,20,0.55,3,10,0.3,7,7,1.0,6,6,2.0,3,0.5,1,0,0,0,1,3,0,2,0,0,4,0,0,2006,0,0,0,0,0,0,0,0,0,0,1,0,311,190.0
332,허훈,16,19950,211,13.1875,62,115,0.539130435,18,58,0.310344828,33,43,0.76744186,11,16,1.6875,68,4.25,20,1,0,0,7,16,0,1,15,4,24,3,2,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,180.0
333,홍경기,4,8693,51,12.75,8,14,0.571428571,10,27,0.37037037,5,6,0.833333333,5,13,4.5,5,1.25,2,2,0,0,0,8,0,1,0,0,10,0,0,2010,0,0,1,0,0,0,0,0,0,0,0,0,362,184.0
334,홍석민,16,18437,106,6.625,26,61,0.426229508,17,43,0.395348837,3,5,0.6,17,55,4.5,14,0.875,1,6,1,1,12,16,0,1,1,0,14,1,1,2017,0,0,0,0,1,0,0,0,0,0,0,0,2,197.0
335,홍성헌,4,8671,84,21.0,32,72,0.444444444,0,3,0.0,20,27,0.740740741,19,19,9.5,3,0.75,0,1,0,0,8,6,0,10,0,0,7,0,0,2006,0,0,0,0,0,0,0,1,0,0,0,0,-1,195.0
336,홍수화,4,7424,64,16.0,21,36,0.583333333,3,15,0.2,13,17,0.764705882,16,12,7.0,0,0.0,5,0,0,0,6,8,0,4,0,0,16,0,0,2009,0,0,0,0,0,0,0,0,0,0,0,1,333,194.5
337,황진원,4,8587,57,14.25,17,23,0.739130435,2,8,0.25,17,20,0.85,6,9,3.75,8,2.0,4,1,0,0,6,4,0,2,0,0,14,0,0,2000,0,0,0,0,0,0,0,0,0,0,1,0,956,188.0
