선수명,키
"박종천	","193cm, 87kg"
"박준영	","195.3cm, 95kg"
"박준용	","185cm, 83kg"
"박준우	","190cm, 86kg"
"박준은	","194.1cm, 85.2kg"
"박지원	","183cm, 72kg"
"박지현	","183cm, 76kg"
"박지훈	","184cm, 76kg"
"박진수	","192cm, 84kg"
"박진열	","189cm, 95kg"
"박진용	","181cm, 75kg"
"박진철	","200cm, 111kg"
"박찬호	","202cm, 104kg"
"박찬희	","190cm, 82kg"
"박철호	","196cm, 94kg"
"박현재	","198cm, 98kg"
"박형철	","192cm, 85kg"
"박희성	",0
"방경수	","203cm, 102kg"
"방덕원	",0
"방성윤	","195cm, 100kg"
"배강률	","196cm, 90kg"
"배경한	","184cm, 80kg"
"배병준	","191cm, 87kg"
"배수용	","194cm, 93kg"
"백승호	","187cm, 83kg"
"백인선	",0
"백주익	","193cm, 87kg"
"백천웅	","203cm, 95kg"
"변기훈	","187cm, 86kg"
"변준형	","188cm, 90kg"
"변현수	","185cm, 80kg"
"서동용	","186cm, 80kg"
"서민수	","186cm, 80kg"
"서병원	","186cm, 85kg"
"서영권	","190cm, 97kg"
"서현석	","198cm, 86kg"
"석명준	","194cm, 88kg"
"석승호	",0
"석종태	","192cm, 93kg"
"성건주	","187cm, 77kg"
"성기빈	","185cm, 78kg"
"성재준	","187cm, 79kg"
"성준모	",190cm
"손우제	","195cm, 94kg"
"손인보	","198cm, 87kg"
"손준영	","194cm, 91kg"
"손홍준	","186cm, 83kg"
"송수인	","193cm, 88kg"
"송영진	","198cm, 88kg"
"송완희	",190cm
"송유섭	",0
"송창무	","203cm, 116kg"
"송창용	","192cm, 89kg"
"신동한	",0
"신명호	","184cm, 81kg"
"신민석	","197.4cm, 90kg"
"신상언	","188cm, 88kg"
"신상호	","187cm, 84kg"
"신승민	",195.4cm
"신윤하	","193cm, 92kg"
"신재호	","181cm, 78kg"
"신정섭	",0
"신제록	",0
"안영준	","196cm, 95kg"
"안재욱	","178cm, 70kg"
"안정환	","191cm, 95kg"
"안정훈	","195.9cm, 100.9kg"
"안종호	",0
"안진모	","197cm, 95kg"
"안철호	",0
"양동근	","181cm, 83kg"
"양동인	","185cm, 93kg"
"양승면	","187cm, 84kg"
"양승성	","180cm, 69kg"
"양우섭	","185cm, 83kg"
"양재혁	","193cm, 85kg"
"양준우	","185.1cm, 75.8kg"
"양홍석	","195cm, 90kg"
"양희종	","194cm, 96kg"
"염승민	","180cm, 77kg"
"오광택	",0
"오기석	","194cm, 98kg"
"오세근	","200cm, 102kg"
"오용준	","193cm, 88kg"
"오재현	","187cm, 85kg"
"오정현	","198cm, 92kg"
"오창환	","190cm, 80kg"
"옥범준	","174cm, 73kg"
"우동현	","176cm, 78kg"
"우승연	",0
"원종훈	","177cm, 78kg"
"유병재	","191cm, 82kg"
"유병훈	","190cm, 80kg"
"유성호	","200cm, 97kg"
"유현준	","182cm, 77kg"
"유희선	","184cm, 81kg"
"윤병학	","182cm, 77kg"
"윤성원	","196cm, 95kg"
"윤성준	",182.1cm
"윤여권	",186cm
"윤원상	","180.9cm, 74.5kg"
"윤이규	","193cm, 86kg"
"윤지광	","188cm, 87kg"
"윤호성	","190cm, 95kg"
"윤호영	","197cm, 92kg"
"윤호진	",0
"윤훈원	","195cm, 98kg"
"은희석	",0
"이건희	","194.1cm, 91.4kg"
"이관희	","190cm, 82kg"
"이광재	","187cm, 80kg"
"이광진	","193.8cm, 87kg"
"이규섭	","198cm, 97kg"
"이근석	",0
"이근휘	","187cm, 85kg"
"이대성	","193cm, 85kg"
"이대연	",0
"이대헌	","197cm, 98kg"
"이대혁	","202cm, 93kg"
"이도헌	","187cm, 80kg"
"이동건	",0
"이동엽	","193cm, 85kg"
"이동준	","200cm, 96kg"
"이동하	","195cm, 92kg"
"이동희	","192cm, 99kg"
"이두훈	",0
"이민석	","188.7cm, 88kg"
"이민영	","181cm, 73kg"
"이민재	","190cm, 82kg"
"이병석	","191cm, 96kg"
"이병윤	","193cm, 95kg"
"이상민	","182cm, 77kg"
"이상수	","192cm, 88kg"
"이상일	","195cm, 92kg"
"이상준	",0
"이승규	","182cm, 75kg"
"이승우	",193.3cm
"이승현	","197cm, 105kg"
"이승환	","177cm, 72kg"
"이시준	","182cm, 72kg"
"이영주	",0
"이영준	",0
"이영현	","191cm, 78kg"
"이영훈	","180cm, 70kg"
"이용우	","183.1cm, 75kg"
"이우석	","196.2cm, 86.7kg"
"이우정	","184cm, 74kg"
"이원대	","183cm, 80kg"
"이원석	",206.5cm
"이윤기	","188.7cm, 94.4kg"
"이윤수	","203cm, 107kg"
"이인성	","177.8cm, 74.1kg"
"이재도	","180cm, 73kg"
"이재우	","186cm, 80kg"
"이정래	",0
"이정석	",0
"이정제	","203cm, 92kg"
"이정현	",0
"이정협	","195cm, 90kg"
"이종구	","188cm, 94kg"
"이종현	",203cm
"이준희	",192cm
"이중원	",0
"이지운	",0
"이지원	","190cm, 83kg"
"이진석	","196cm, 87.9kg"
"이진욱	","180cm, 70kg"
"이진혁	","187cm, 82kg"
"이찬영	",0
"이창민	","190cm, 82kg"
"이충암	","190cm, 88kg"
"이한권	",0
"이한림	",0
"이헌	","193.2cm, 91.2kg"
"이현민	","178cm, 76kg"
"이현석	",0
"이현수	",0
"이현준	","194cm, 95kg"
"이현호	","192cm, 95kg"
"이형주	","183cm, 82kg"
"이호영	",200cm
"이호준	","183.3cm, 77.6kg"
"이호현	","184cm, 74kg"
"이흥배	",0
"임동섭	","198cm, 93kg"
"임상욱	","183cm, 80kg"
"임승필	",202cm
"임영훈	","193cm, 92kg"
"임재현	","182cm,"
"임정헌	","188cm, 86kg"
"임정훈	","180cm, 93kg"
"임종일	","190cm, 80kg"
"임준수	","190cm, 87kg"
"임창한	","186cm, 80kg"
"임현택	","196.8cm, 84kg"
"임효성	",180cm
"임휘종	","187cm, 83kg"
"장규호	","183cm, 78kg"
"장문호	","195cm, 92kg"
"장민국	","199cm, 94kg"
"장민범	","180cm, 72kg"
"장영훈	",0
"장재석	","204cm, 96kg"
"장태빈	","183cm, 80kg"
"전건우	","183cm, 80kg"
"전규철	","189cm, 93kg"
"전병석	","188cm, 84kg"
"전성현	","189cm, 80kg"
"전성환	","178.2cm, 77.2kg"
"전원석	","190cm, 85kg"
"전정규	","187cm, 86kg"
"전준범	","194cm, 80kg"
"전태영	","182.4cm, 85kg"
"전현우	",194cm
"전형수	","181cm, 80kg"
"전형준	","181.6cm, 83kg"
"정강호	","191cm, 90kg"
"정대한	","184cm, 77kg"
"정민수	","192cm, 96kg"
"정병국	","183cm, 76kg"
"정봉영	","187cm, 80kg"
"정상헌	","192cm, 105kg"
"정선규	",0
"정성수	","174cm, 64kg"
"정성우	","178cm, 82kg"
"정성호	","194cm, 85kg"
"정세영	",0
"정승원	",0
"정영삼	","187cm, 83kg"
"정의한	","184cm, 77kg"
"정인덕	",196cm
"정재철	","183cm, 76kg"
"정재헌	","194cm, 110kg"
"정재호	","180cm, 80kg"
"정재홍	",0
"정종현	",202.6cm
"정준수	","191.7cm, 95kg"
"정준원	","193cm, 83kg"
"정진욱	","183.3cm, 83kg"
"정창영	","193cm, 90kg"
"정해원	","186.6cm, 86.2kg"
"정호영	","186.3cm, 70kg"
"정효근	","202cm, 100kg"
"정훈종	","205cm, 107kg"
"정휘량	","198cm, 94kg"
"정희원	","191cm, 88kg"
"정희재	","195cm, 94kg"
"조상열	","188.5cm, 81.5kg"
"조성민	","189cm, 85kg"
"조성훈	",0
"조용상	","192.8cm, 85kg"
"조의태	","193cm, 83kg"
"조재원	",0
"조준희	",0
"조한수	","191cm, 104kg"
"조효현	","178cm, 73kg"
"주긴완	","192cm, 93kg"
"주지훈	","201cm, 95kg"
"주태수	",202cm
"주현우	",197.5cm
"진경석	","189cm, 86kg"
"차민석	","194cm, 93kg"
"차바위	","192cm, 88kg"
"차재영	","193cm, 90kg"
"차지우	","188cm, 87kg"
"천기범	","186cm, 86kg"
"천대현	",193cm
"천일환	","184cm, 81kg"
"천재민	","189.8cm, 84.4kg"
"최경철	",0
"최고봉	","186cm, 88kg"
"최민규	","180cm, 75kg"
"최병훈	","187cm, 95kg"
"최부경	","200cm, 105kg"
"최성근	","197cm, 97kg"
"최성모	","186.4cm, 77.6kg"
"최성원	","184cm, 78kg"
"최수현	","180cm, 72kg"
"최승욱	",0
"최승태	","188cm, 84kg"
"최우연	","198cm, 112kg"
"최원혁	","183cm, 81kg"
"최윤호	","186cm, 86kg"
"최정우	",0
"최종훈	",0
"최주영	","204.4cm, 105kg"
"최준용	","200cm, 95kg"
"최지훈	","192cm, 88kg"
"최진광	",175.7cm
"최창진	","185cm, 86.7kg"
"최현민	","195cm, 97kg"
"추철민	",0
"하도현	","197.1cm, 102kg"
"하윤기	",203.5cm
"하재필	","200cm, 100kg"
"한상민	","180cm, 76kg"
"한상혁	","183cm, 77kg"
"한성원	","180cm, 73kg"
"한승희	","196cm, 100kg"
"한재규	","197cm, 99kg"
"한정원	","200cm, 98kg"
"한정훈	","185cm, 89kg"
"한호빈	","180cm, 75kg"
"한희원	","195cm, 92kg"
"함길호	","202cm, 101kg"
"함준후	","195cm, 91kg"
"함지훈	","198cm, 103kg"
"허웅	","185cm, 78kg"
"허일영	","196cm, 95kg"
"허중	","180cm, 73kg"
"허진성	","182cm, 79kg"
"허효진	","190cm, 85kg"
"허훈	","180cm, 80kg"
"홍경기	","184cm, 79kg"
"홍석민	","197cm, 94kg"
"홍성헌	",195cm
"홍수화	","194.5cm, 94.8kg"
"홍순규	","198cm, 100kg"
"황진원	","188cm, 84kg"
