,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
251,최인규,3,00:45:18,7,2,2,8,25.0%,0,2,0.0%,3,6,50.0%,3,9,4.0,3,1.0,1,0,0,0,1,4,0,0,0,0,0,7,5,1,2018.0,조선대학교
252,최연성,3,00:13:32,7,2,1,3,33.3%,1,2,50.0%,2,2,100.0%,0,3,1.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2018.0,조선대학교
253,정주용,3,00:05:25,1,0,0,0,0.0%,0,2,0.0%,1,2,50.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018.0,조선대학교
254,조민기,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,조선대학교
255,이상민,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,조선대학교
256,배창민,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,조선대학교
257,강병현,3,01:55:35,67,22,21,42,50.0%,5,14,35.7%,10,16,62.5%,6,12,6.0,6,2.0,4,0,0,0,1,5,0,0,1,6,1,11,1,0,2018.0,중앙대학교
258,박진철,3,01:43:26,48,16,21,40,52.5%,0,0,0.0%,6,10,60.0%,27,27,18.0,5,1.7,3,3,0,0,9,5,0,0,0,1,0,10,0,0,2018.0,중앙대학교
259,문상옥,3,01:33:41,40,13,14,32,43.8%,3,15,20.0%,3,4,75.0%,4,11,5.0,4,1.3,4,1,0,0,6,0,0,0,0,5,2,12,2,0,2018.0,중앙대학교
260,박태준,3,01:34:00,34,11,8,17,47.1%,4,9,44.4%,6,8,75.0%,6,7,4.0,9,3.0,6,0,0,0,1,7,0,0,2,5,1,2,1,0,2018.0,중앙대학교
261,성광민,3,01:09:32,17,5,5,15,33.3%,0,0,0.0%,7,11,63.6%,3,4,2.0,13,4.3,2,0,0,0,5,3,0,0,0,0,0,4,3,1,2018.0,중앙대학교
262,허승녕,3,00:59:39,15,5,3,10,30.0%,3,8,37.5%,0,0,0.0%,3,6,3.0,3,1.0,4,0,0,0,3,7,0,0,0,0,0,5,0,0,2018.0,중앙대학교
263,신민철,3,00:25:38,6,2,2,7,28.6%,0,3,0.0%,2,2,100.0%,3,1,1.0,0,0.0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,2018.0,중앙대학교
264,홍현준,1,00:25:25,3,3,1,4,25.0%,0,0,0.0%,1,2,50.0%,0,2,2.0,2,2.0,3,1,0,0,1,2,0,0,0,0,0,1,0,0,2018.0,중앙대학교
265,박건호,3,00:13:04,2,0,0,2,0.0%,0,0,0.0%,2,4,50.0%,2,2,1.0,0,0.0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2018.0,중앙대학교
266,고준호,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,중앙대학교
267,김진모,1,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,중앙대학교
268,최우준,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,중앙대학교
269,조종민,2,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,중앙대학교
270,이석민,2,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018.0,중앙대학교
271,김기범,3,01:42:15,68,22,13,28,46.4%,9,27,33.3%,15,20,75.0%,5,11,5.0,9,3.0,6,2,0,0,5,4,0,0,0,2,1,6,1,0,2018.0,한양대학교
272,배경식,3,01:22:39,44,14,17,34,50.0%,1,2,50.0%,7,10,70.0%,9,14,7.0,5,1.7,3,0,0,0,1,6,0,0,0,0,1,4,0,0,2018.0,한양대학교
273,박민상,3,01:30:17,33,11,10,19,52.6%,4,20,20.0%,1,2,50.0%,4,10,4.0,7,2.3,5,0,0,0,4,6,0,0,0,3,2,3,1,0,2018.0,한양대학교
274,오재현,3,01:37:46,20,6,8,14,57.1%,0,1,0.0%,4,6,66.7%,6,14,6.0,4,1.3,5,1,0,0,1,10,0,0,1,4,1,6,2,0,2018.0,한양대학교
275,이승훈,3,00:51:04,16,5,8,11,72.7%,0,0,0.0%,0,0,0.0%,3,12,5.0,6,2.0,0,0,0,0,2,3,0,0,0,1,0,3,0,0,2018.0,한양대학교
276,김윤환,3,01:36:49,15,5,4,10,40.0%,2,8,25.0%,1,2,50.0%,2,7,3.0,19,6.3,2,0,0,0,4,3,0,0,0,1,1,11,4,0,2018.0,한양대학교
277,김민진,3,00:44:56,12,4,5,9,55.6%,0,0,0.0%,2,3,66.7%,2,3,1.0,1,0.3,5,0,0,0,3,2,0,0,0,2,1,4,3,1,2018.0,한양대학교
278,진승원,3,00:07:29,2,0,1,5,20.0%,0,0,0.0%,0,1,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2018.0,한양대학교
279,송수현,3,00:23:41,1,0,0,2,0.0%,0,1,0.0%,1,2,50.0%,1,1,0.0,1,0.3,2,0,0,0,6,0,0,0,0,0,0,3,3,0,2018.0,한양대학교
280,이한엽,2,00:03:04,0,0,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2018.0,한양대학교
281,이진욱,3,01:54:36,64,21,16,38,42.1%,9,19,47.4%,5,8,62.5%,5,12,5.0,9,3.0,8,0,0,0,6,3,0,0,0,5,5,16,0,0,2017.0,건국대학교
282,정겨운,3,01:41:34,39,13,11,44,25.0%,0,0,0.0%,17,20,85.0%,12,10,7.0,5,1.7,2,0,0,0,5,4,0,0,0,4,1,8,2,1,2017.0,건국대학교
283,고행석,3,01:28:38,33,11,13,19,68.4%,1,6,16.7%,4,6,66.7%,7,9,5.0,9,3.0,8,1,0,0,3,9,0,0,0,5,1,4,7,0,2017.0,건국대학교
284,서현석,3,01:48:04,29,9,12,28,42.9%,0,0,0.0%,5,11,45.5%,9,21,10.0,2,0.7,1,0,0,0,0,5,0,0,0,3,0,7,0,0,2017.0,건국대학교
285,최진광,1,00:37:39,15,15,2,4,50.0%,3,5,60.0%,2,2,100.0%,1,3,4.0,3,3.0,1,0,0,0,0,3,0,0,0,1,0,3,0,0,2017.0,건국대학교
286,최형욱,3,01:19:48,11,3,4,13,30.8%,1,7,14.3%,0,0,0.0%,4,3,2.0,6,2.0,3,0,0,0,3,5,0,0,0,1,0,3,1,0,2017.0,건국대학교
287,고성빈,3,00:34:42,4,1,0,0,0.0%,1,5,20.0%,1,2,50.0%,1,0,0.0,1,0.3,3,0,0,0,4,6,0,0,1,0,0,3,3,0,2017.0,건국대학교
288,전태현,3,00:31:07,4,1,2,4,50.0%,0,4,0.0%,0,0,0.0%,0,3,1.0,1,0.3,3,2,0,0,3,0,0,0,0,1,0,3,1,0,2017.0,건국대학교
289,이상헌,3,00:03:52,3,1,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,건국대학교
290,한상헌,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,건국대학교
291,남진식,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,건국대학교
292,류태형,2,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,건국대학교
293,최석원,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,건국대학교
294,박찬호,5,02:46:42,91,18,38,67,56.7%,0,0,0.0%,15,16,93.8%,18,41,11.0,5,1.0,3,2,0,0,14,6,0,0,1,6,0,13,0,0,2017.0,경희대학교
295,이민영,5,02:27:16,67,13,19,33,57.6%,7,19,36.8%,8,9,88.9%,3,13,3.0,15,3.0,9,1,0,0,7,4,0,0,0,4,5,11,3,0,2017.0,경희대학교
296,권성진,5,02:18:42,66,13,11,25,44.0%,13,32,40.6%,5,6,83.3%,6,16,4.0,13,2.6,5,3,0,0,1,6,0,0,3,4,3,7,9,1,2017.0,경희대학교
297,권혁준,5,02:09:21,47,9,16,33,48.5%,3,7,42.9%,6,10,60.0%,12,10,4.0,15,3.0,9,0,0,0,5,8,0,0,1,8,4,7,4,0,2017.0,경희대학교
298,정지우,5,02:09:25,27,5,8,26,30.8%,2,9,22.2%,5,6,83.3%,3,5,1.0,18,3.6,7,0,0,0,6,6,0,0,2,4,4,12,0,0,2017.0,경희대학교
299,이건희,5,01:53:47,20,4,5,20,25.0%,1,8,12.5%,7,10,70.0%,7,17,4.0,3,0.6,7,1,0,0,6,3,0,0,1,1,1,11,1,0,2017.0,경희대학교
300,최재화,5,01:01:02,19,3,6,12,50.0%,2,7,28.6%,1,2,50.0%,4,10,2.0,6,1.2,5,0,0,0,2,7,0,0,0,3,1,8,2,0,2017.0,경희대학교
301,이용기,5,00:52:30,16,3,6,13,46.2%,0,2,0.0%,4,8,50.0%,5,6,2.0,3,0.6,4,0,0,0,7,1,0,0,1,3,0,2,3,0,2017.0,경희대학교
302,김준환,5,01:02:17,10,2,0,14,0.0%,1,4,25.0%,7,8,87.5%,3,4,1.0,6,1.2,4,0,0,0,6,6,0,0,0,1,2,7,2,0,2017.0,경희대학교
303,이창희,5,00:23:04,4,0,2,5,40.0%,0,1,0.0%,0,0,0.0%,1,0,0.0,1,0.2,2,0,0,0,2,4,0,0,0,0,0,2,1,0,2017.0,경희대학교
304,원종원,5,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,경희대학교
305,오창현,5,00:00:54,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017.0,경희대학교
306,박정현,5,03:00:11,95,19,42,72,58.3%,0,1,0.0%,11,16,68.8%,14,36,10.0,17,3.4,4,6,0,0,8,5,0,0,2,1,0,15,3,0,2017.0,고려대학교
307,박준영,5,02:51:09,85,17,36,64,56.3%,2,8,25.0%,7,8,87.5%,19,31,10.0,12,2.4,4,1,0,0,5,7,0,0,0,4,1,13,0,1,2017.0,고려대학교
308,전현우,5,02:49:31,65,13,19,35,54.3%,8,29,27.6%,3,4,75.0%,7,18,5.0,10,2.0,7,0,1,1,5,10,0,0,0,6,3,12,1,0,2017.0,고려대학교
309,최성원,5,02:50:53,55,11,20,35,57.1%,4,14,28.6%,3,8,37.5%,8,16,4.0,26,5.2,6,0,0,0,1,14,0,0,3,5,2,12,2,0,2017.0,고려대학교
310,김낙현,5,02:55:04,52,10,8,21,38.1%,8,21,38.1%,12,13,92.3%,3,14,3.0,16,3.2,15,2,0,0,3,6,0,0,0,1,2,4,13,1,2017.0,고려대학교
311,장태빈,5,01:10:05,22,4,6,10,60.0%,3,7,42.9%,1,2,50.0%,3,4,1.0,6,1.2,2,1,0,0,1,3,0,0,0,2,1,5,1,0,2017.0,고려대학교
312,김윤,5,00:50:51,18,3,2,6,33.3%,4,11,36.4%,2,2,100.0%,0,7,1.0,4,0.8,1,0,0,0,0,3,0,0,1,2,1,3,0,0,2017.0,고려대학교
313,박민우,5,00:13:45,4,0,2,3,66.7%,0,0,0.0%,0,0,0.0%,3,1,0.0,1,0.2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2017.0,고려대학교
314,김준형,5,00:07:17,4,0,0,2,0.0%,1,2,50.0%,1,2,50.0%,1,3,0.0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2017.0,고려대학교
315,김진영,2,00:03:10,2,1,0,0,0.0%,0,0,0.0%,2,2,100.0%,0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2017.0,고려대학교
316,유상준,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,고려대학교
317,김호범,3,00:03:04,0,0,0,2,0.0%,0,0,0.0%,0,0,0.0%,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017.0,고려대학교
318,김형진,2,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017.0,고려대학교
