,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
265,조민근,3,00:13:00,4,1,1,5,20.0%,0,0,0.0%,2,2,100.0%,0,0,0.0,3,1.0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,2021,한양대학교
266,전준우,3,00:21:36,4,1,1,2,50.0%,0,3,0.0%,2,3,66.7%,1,3,1.0,1,0.3,1,0,0,0,3,3,0,0,1,0,0,1,2,0,2021,한양대학교
267,정우진,3,00:17:27,3,1,0,1,0.0%,1,1,100.0%,0,0,0.0%,0,0,0.0,3,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2021,한양대학교
268,염재성,3,00:23:43,1,0,0,1,0.0%,0,2,0.0%,1,4,25.0%,2,7,3.0,3,1.0,2,0,0,0,0,2,0,0,1,0,0,3,2,1,2021,한양대학교
269,이재위,3,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,한양대학교
270,이용우,3,01:53:05,68,22,15,32,46.9%,10,27,37.0%,8,10,80.0%,7,15,7.0,15,5.0,5,0,0,0,0,1,0,0,0,3,4,8,2,0,2020,건국대학교
271,주현우,3,01:47:36,45,15,21,40,52.5%,0,0,0.0%,3,9,33.3%,11,10,7.0,8,2.7,5,1,0,0,4,2,0,0,1,4,2,5,0,1,2020,건국대학교
272,백지웅,3,01:48:12,22,7,5,8,62.5%,4,29,13.8%,0,0,0.0%,8,7,5.0,6,2.0,3,0,0,0,2,3,0,0,0,2,2,4,0,0,2020,건국대학교
273,고성빈,3,01:46:35,19,6,3,11,27.3%,3,8,37.5%,4,4,100.0%,3,9,4.0,17,5.7,12,0,0,0,7,4,0,0,3,1,0,4,4,0,2020,건국대학교
274,전태현,3,01:00:02,18,6,9,14,64.3%,0,10,0.0%,0,0,0.0%,6,10,5.0,0,0.0,2,3,0,0,1,5,0,0,0,0,0,1,0,0,2020,건국대학교
275,최승빈,3,00:38:41,12,4,6,15,40.0%,0,1,0.0%,0,3,0.0%,5,2,2.0,0,0.0,1,0,0,0,1,5,0,0,0,0,0,3,0,0,2020,건국대학교
276,정민수,3,00:30:10,7,2,2,5,40.0%,1,3,33.3%,0,0,0.0%,0,0,0.0,4,1.3,2,0,0,0,1,4,0,0,0,0,0,0,1,0,2020,건국대학교
277,박상우,3,00:03:13,6,2,1,1,100.0%,1,2,50.0%,1,1,100.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,건국대학교
278,남진식,3,00:07:15,3,1,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,1,0.0,1,0.3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2020,건국대학교
279,배성재,3,00:19:03,3,1,0,2,0.0%,0,2,0.0%,3,4,75.0%,1,0,0.0,1,0.3,0,0,0,0,1,1,0,0,0,0,1,3,2,0,2020,건국대학교
280,조성준,3,00:04:37,2,0,1,1,100.0%,0,0,0.0%,0,0,0.0%,1,1,0.0,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,건국대학교
281,김기태,3,00:01:31,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2020,건국대학교
282,김준환,3,01:41:35,68,22,21,35,60.0%,7,18,38.9%,5,5,100.0%,3,25,9.0,16,5.3,2,0,0,0,2,2,0,0,1,2,2,9,0,0,2020,경희대학교
283,김동준,3,01:40:01,49,16,15,25,60.0%,5,17,29.4%,4,4,100.0%,2,10,4.0,27,9.0,4,2,0,0,2,1,0,0,2,8,1,6,4,1,2020,경희대학교
284,이용기,3,01:32:31,42,14,12,19,63.2%,4,7,57.1%,6,10,60.0%,12,15,9.0,8,2.7,3,6,0,0,5,5,0,0,0,3,0,1,0,0,2020,경희대학교
285,고찬혁,3,01:05:55,23,7,6,10,60.0%,2,11,18.2%,5,7,71.4%,2,3,1.0,6,2.0,3,0,0,0,6,1,0,0,0,0,0,1,1,0,2020,경희대학교
286,이승구,3,01:20:45,23,7,4,4,100.0%,5,15,33.3%,0,1,0.0%,4,2,2.0,2,0.7,3,2,0,0,4,9,0,0,0,1,0,3,0,0,2020,경희대학교
287,조승원,3,01:03:03,14,4,5,10,50.0%,1,4,25.0%,1,4,25.0%,4,5,3.0,7,2.3,2,0,0,0,0,7,0,0,3,1,0,10,3,0,2020,경희대학교
288,이준협,3,00:30:22,10,3,2,5,40.0%,2,3,66.7%,0,1,0.0%,3,6,3.0,3,1.0,0,0,0,0,4,1,0,0,1,0,0,1,1,0,2020,경희대학교
289,김재원,3,00:06:51,6,2,0,0,0.0%,2,4,50.0%,0,0,0.0%,0,2,0.0,1,0.3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2020,경희대학교
290,장동하,3,00:16:34,4,1,1,4,25.0%,0,0,0.0%,2,2,100.0%,2,0,0.0,0,0.0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,2020,경희대학교
291,윤성현,3,00:22:30,3,1,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,4,1.0,2,0.7,0,0,0,0,1,0,0,0,1,0,0,4,0,0,2020,경희대학교
292,황영찬,1,00:07:38,2,2,1,1,100.0%,0,2,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2020,경희대학교
293,LISICHENG,1,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,경희대학교
294,인승찬,3,00:12:15,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,1,0.0,1,0.3,1,0,0,0,3,1,0,0,0,0,0,3,0,0,2020,경희대학교
295,박민채,1,00:00:00,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,경희대학교
296,신민석,3,01:37:18,58,19,9,19,47.4%,12,30,40.0%,4,5,80.0%,8,16,8.0,7,2.3,4,0,0,0,0,4,0,0,0,2,3,9,4,0,2020,고려대학교
297,서정현,3,01:27:40,51,17,24,39,61.5%,0,0,0.0%,3,5,60.0%,6,9,5.0,4,1.3,2,5,0,0,2,5,0,0,0,3,1,3,2,1,2020,고려대학교
298,박무빈,3,01:30:10,41,13,13,20,65.0%,2,12,16.7%,9,11,81.8%,4,8,4.0,12,4.0,0,0,0,0,2,2,0,0,2,1,1,7,0,0,2020,고려대학교
